mabn,macsyt,ten,cmnd,ngsinh,sonha,duong,quan,tinh,tsbenh,tsbenhgd,diung,matkhau
BN000001,CS000017,Nguyen  Minh Xuyen,79201000001,10/19/1982,1273,Bui Vien,Binh Thanh,Ba Ria-Vung Tau,,,Bronopol,BN000001
BN000002,CS000045,Lang The Lam,79201000002,8/31/1953,4098,Le Thi Rieng,2,Binh Duong,,,,BN000002
BN000003,CS000026,Le  Hoang Lam,79201000003,8/2/1975,1491,Trung Nhi,O Mon,Quang Tri,,,Budesonide,BN000003
BN000004,CS000029,Chung Thanh Ba,79201000004,10/28/1955,4116,Ba Trieu,Thu Duc,Hoa Binh,,Benh dong kinh ,Hon hop Carba,BN000004
BN000005,CS000007,Dang Duy Kiet,79201000005,7/7/1996,4359,Hai Ba Trung,Thot Not,Quang Ninh,,,,BN000005
BN000006,CS000020,Phuong Thong Cao,79201000006,8/24/1967,2943,De Tham,Le Chan,Ba Ria-Vung Tau,,Benh tieu duong ,,BN000006
BN000007,CS000024,Pham Hoang Cat,79201000007,8/22/1959,224,Ba Trieu,Tu Liem,Vinh Long,,Hoi chung Down ,Imidazolidinyl ure,BN000007
BN000008,CS000047,Quach An Thinh,79201000008,12/12/1968,2386,Hai Ba Trung,12,Hoa Binh,,,,BN000008
BN000009,CS000007,Lang Dai Danh,79201000009,12/19/1974,1816,Nguyen Trung Truc,Kien An,Dong Thap,,Benh mau kho dong ,Budesonide,BN000009
BN000010,CS000048,Thinh Kim Chau,79201000010,5/13/1950,3873,Ho Tung Mau,Binh Thuy,Yen Bai,,,Diazolidinyl ure,BN000010
BN000011,CS000001,Hua Thong Binh,79201000011,9/2/1991,4850,Phan Boi Chau,Ngo Quyen,Lao Cai,,,,BN000011
BN000012,CS000001,Khuong Thanh Sang,79201000012,10/2/1989,1413,Le Loi,Thot Not,Soc Trang,,,,BN000012
BN000013,CS000039,Ngo Thu Quynh,79201000013,12/7/1966,371,Cach Mang Thang Tam,6,Dak Lak,,Benh dong kinh ,Kali diicat,BN000013
BN000014,CS000005,Duong Van Chau,79201000014,8/2/1965,4874,Nguyen Thai Binh,Cau Giay,Bac Kan,,,,BN000014
BN000015,CS000033,Phung Thu Khuong,79201000015,2/16/1970,358,Cach Mang Thang Tam,Thu Duc,Ninh Binh,,,Hon hop Carba,BN000015
BN000016,CS000030,Nguyen  Mai Ai,79201000016,9/7/1981,4604,De La Thanh,10,Ninh Thuan,,,Quaternium,BN000016
BN000017,CS000002,Thinh Dang Lang,79201000017,1/12/1964,4971,Ly Tu Trong,Tan Binh,Hai Duong,,Hoi chung Down ,Hon hop Carba,BN000017
BN000018,CS000016,Ngo Van Danh,79201000018,8/30/1977,2206,Bai Say,8,Soc Trang,,Benh tim ,,BN000018
BN000019,CS000005,La Van Va,79201000019,4/22/1987,3743,Phan Van Truong,Dong Da,Ha Giang,,Hoi chung Klinefelter,Hon hop Caine,BN000019
BN000020,CS000021,Quang Vinh Uyen,79201000020,4/1/1964,1930,Truong Dinh,Son Tra,Dien Bien,,Hoi chung Klinefelter,,BN000020
BN000021,CS000016,Pham Vuong Hong,79201000021,6/1/1996,2159,Phan Boi Chau,Go Vap,Binh Dinh,,Benh mu mau ,,BN000021
BN000022,CS000011,Lanh Quang Nham,79201000022,1/22/1972,3217,Le Lai,Tan Binh,An Giang,,Benh mau kho dong ,,BN000022
BN000023,CS000003,Quach Kim Thuy,79201000023,11/16/1972,3212,Le Thanh Ton,8,Hai Duong,,Benh bach tang,,BN000023
BN000024,CS000001,Ly Tan Boc,79201000024,8/13/1989,2877,Trinh Van Can,Binh Tan,Hau Giang,,Benh tieu duong ,Quaternium,BN000024
BN000025,CS000046,Hinh An Cong,79201000025,9/23/1965,2671,Pham Ngu Lao,O Mon,Thai Binh,,Cao huyet ap,,BN000025
BN000026,CS000028,Hinh Dang Khoa,79201000026,11/1/1968,1662,De Tham,9,Dong Nai,,,Mercapto hon hop,BN000026
BN000027,CS000022,Truon Thu Chi,79201000027,11/12/1992,3901,Le Thanh Ton,5,Bac Kan,,Benh mau kho dong ,,BN000027
BN000028,CS000020,Trung Tan Ly,79201000028,1/20/1984,2294,Phan Chu Trinh,Le Chan,Binh Thuan,,Hoi chung Down ,Hon hop Caine,BN000028
BN000029,CS000027,Hua Anh Khoa,79201000029,1/1/1964,4944,Le Thi Rieng,Ngo Quyen,Thua Thien-Hue,,,Quaternium,BN000029
BN000030,CS000011,Ngo Thi Dung,79201000030,1/24/1982,791,Trinh Van Can,4,Dak Nong,,,Mercapto hon hop,BN000030
BN000031,CS000008,Hua Tan Nghiem,79201000031,12/26/1959,3151,Nguyen Thai Binh,Lien Chieu,Hau Giang,,Benh bach tang,,BN000031
BN000032,CS000009,Bach Thai Cong,79201000032,7/14/1994,3929,Bai Say,Tan Binh,Thua Thien-Hue,,Benh mau kho dong ,,BN000032
BN000033,CS000021,Bui Thanh Khoan,79201000033,2/6/1983,93,Nguyen Trung Truc,4,Ha Nam,,Cao huyet ap,,BN000033
BN000034,CS000001,Phung Ha Son,79201000034,8/17/1960,1080,Le Lai,Tu Liem,Ho Chi Minh,,,,BN000034
BN000035,CS000015,Huynh Le Binh,79201000035,4/15/1993,779,Pham Ngu Lao,Tan Binh,Tien Giang,,Cao huyet ap,Mercaptobenzothiazole,BN000035
BN000036,CS000029,Trung Xuan Khoi,79201000036,6/14/1980,2880,Vo Van Kiet,Ba Dinh,Quang Tri,,,,BN000036
BN000037,CS000032,Lanh Nhu Khoa,79201000037,11/13/1973,2395,Nguyen Thai Binh,Hoang Mai,Da Nang,,,,BN000037
BN000038,CS000050,Chu Trong Tho,79201000038,2/23/1965,1289,Phan Boi Chau,Ha Dong ,Bac Giang,,Benh mau kho dong ,,BN000038
