manv,hoten,phai,ngsinh,cmnd,que,sdt,cstyt,vaitro,chuyenkhoa,matkhau
NV000001,Quan Hieu Au,0,3/6/1996,79301000001,Ben Tre,784072187,,Thanh tra,,NV000001
NV000002,Chung Xuan Khoi,0,2/8/1990,79301000002,Hau Giang,903224621,,Thanh tra,,NV000002
NV000003,Quach Huy Au,0,6/25/1971,79301000003,Lang Son,922272283,,Thanh tra,,NV000003
NV000004,Tran Dieu An,0,7/3/1959,79301000004,Phu Tho,973855574,,Thanh tra,,NV000004
NV000005,Sam Thi Hiep,1,6/13/1994,79301000005,Cao Bang,981005120,,Thanh tra,,NV000005
NV000006,Binh Gia Khoi,0,2/3/1976,79301000006,Dak Lak,782754246,CS000001,Co so y te,,NV000006
NV000007,Ho Phu Nguyen,1,5/19/1971,79301000007,Ha Tinh,996457428,CS000002,Co so y te,,NV000007
NV000008,Sam Dang Boc,0,1/6/1960,79301000008,Quang Tri,768534530,CS000003,Co so y te,,NV000008
NV000009,Huynh Duy Au,1,3/14/1988,79301000009,Tien Giang,397778411,CS000004,Co so y te,,NV000009
NV000010,Hua Anh Phi,0,8/24/1966,79301000010,Bac Giang,351515378,CS000005,Co so y te,,NV000010
NV000011,Pham Hoang Huong,0,10/29/1966,79301000011,Can Tho,856221667,CS000006,Co so y te,,NV000011
NV000012,Phuong Dai Long,0,12/4/1966,79301000012,Phu Yen,325137441,CS000007,Co so y te,,NV000012
NV000013,Nguyen  Vuong Chuong,1,9/16/1953,79301000013,Hoa Binh,327814072,CS000008,Co so y te,,NV000013
NV000014,Ngo Thanh Nghiem,1,5/19/1986,79301000014,Khanh Hoa,961086580,CS000009,Co so y te,,NV000014
NV000015,Nguyen  Dang Chau,0,7/7/1969,79301000015,Dien Bien,855565051,CS000010,Co so y te,,NV000015
NV000016,Lanh Hung Kien,0,4/13/1964,79301000016,Kon Tum,366728443,CS000011,Co so y te,,NV000016
NV000017,Lang Hoang Hai,0,6/13/1964,79301000017,Thua Thien-Hue,377112708,CS000012,Co so y te,,NV000017
NV000018,Ly Kim Hiep,0,6/11/1987,79301000018,Lai Chau,385474561,CS000013,Co so y te,,NV000018
NV000019,Le  Van Kiet,0,9/13/1987,79301000019,Ba Ria-Vung Tau,992455674,CS000014,Co so y te,,NV000019
NV000020,Phi Thu Pham,0,4/10/1951,79301000020,Ba Ria-Vung Tau,963127200,CS000015,Co so y te,,NV000020
NV000021,Chu Thai Khoa,0,12/21/1965,79301000021,Dien Bien,778483424,CS000016,Co so y te,,NV000021
NV000022,Lang Dai Ban,1,9/23/1983,79301000022,Soc Trang,326837483,CS000017,Co so y te,,NV000022
NV000023,Thinh Hong Cung,0,6/7/1980,79301000023,Bac Kan,770546438,CS000018,Co so y te,,NV000023
NV000024,Phan Huy Sinh,1,11/5/1961,79301000024,Quang Ninh,381651406,CS000019,Co so y te,,NV000024
NV000025,Chung Gia Nguyen,0,9/25/1998,79301000025,Kon Tum,983265510,CS000020,Co so y te,,NV000025
NV000026,Pham Phu Huyen,0,9/1/1972,79301000026,Ninh Thuan,992420228,CS000021,Co so y te,,NV000026
NV000027,Vu Ha Lieu,0,11/7/1992,79301000027,Phu Yen,780138264,CS000022,Co so y te,,NV000027
NV000028,Nguyen  Phu Thinh,0,1/29/1993,79301000028,Gia Lai,925262713,CS000023,Co so y te,,NV000028
NV000029,Huynh Nhu Ai,0,10/29/1991,79301000029,Bac Ninh,854772217,CS000024,Co so y te,,NV000029
NV000030,Dang Minh Hung,0,6/12/1974,79301000030,Thua Thien-Hue,924770823,CS000025,Co so y te,,NV000030
NV000031,Khuong Hong Son,0,7/19/1976,79301000031,Quang Ngai,798017112,CS000026,Co so y te,,NV000031
NV000032,Cong Huy Yen,0,6/5/1991,79301000032,Phu Yen,970345146,CS000027,Co so y te,,NV000032
NV000033,Quach Thu Bich,1,3/28/1993,79301000033,Binh Dinh,960380451,CS000028,Co so y te,,NV000033
NV000034,Lac Van Chu,0,7/31/1986,79301000034,Bac Lieu,856565851,CS000029,Co so y te,,NV000034
NV000035,Dang Thai Quang,1,7/28/1981,79301000035,Dak Lak,393645150,CS000030,Co so y te,,NV000035
NV000036,Trung Ha Minh,1,8/23/1957,79301000036,Thanh Hoa,783851383,CS000031,Co so y te,,NV000036
NV000037,Lang Xuan Ly,0,6/21/1989,79301000037,Hai Duong,782207122,CS000032,Co so y te,,NV000037
NV000038,Hinh Dinh Ai,0,12/2/1989,79301000038,Ho Chi Minh,775512665,CS000033,Co so y te,,NV000038
NV000039,Ho The Vy,0,7/9/1997,79301000039,Tien Giang,914616281,CS000034,Co so y te,,NV000039
NV000040,Phuong Gia Hong,0,11/6/1964,79301000040,Dong Nai,860185024,CS000035,Co so y te,,NV000040
NV000041,Ngo Quang Xuyen,1,5/24/1968,79301000041,Binh Phuoc,838252137,CS000036,Co so y te,,NV000041
NV000042,Phi Quang Thoa,0,1/10/1995,79301000042,Ninh Thuan,326836264,CS000037,Co so y te,,NV000042
NV000043,Quan Hong Manh,1,12/25/1961,79301000043,Tuyen Quang,364043010,CS000038,Co so y te,,NV000043
NV000044,Le  Van Thuan,0,9/25/1955,79301000044,Vinh Long,380864285,CS000039,Co so y te,,NV000044
NV000045,Huynh Tan Khanh,1,5/22/1954,79301000045,Tuyen Quang,866517886,CS000040,Co so y te,,NV000045
NV000046,Cong Duc Anh,0,6/21/2000,79301000046,Ba Ria-Vung Tau,887862512,CS000041,Co so y te,,NV000046
NV000047,Duong Van Nga,1,5/7/1998,79301000047,Kien Giang,985453603,CS000042,Co so y te,,NV000047
NV000048,Vu Quo Sang,1,10/21/1963,79301000048,Vinh Phuc,580772241,CS000043,Co so y te,,NV000048
